x	y	dy
0.000000000000000000e+00	3.951447034932907554e-02	4.000000000000000000e+00
5.263157894736841813e-01	5.454333452320525577e-02	4.000000000000000000e+00
1.052631578947368363e+00	7.645565958009524488e-02	4.000000000000000000e+00
1.578947368421052655e+00	2.458191760021206096e-01	4.000000000000000000e+00
2.105263157894736725e+00	2.419487152278914921e-01	4.000000000000000000e+00
2.631578947368420796e+00	3.745004810798410189e-01	4.000000000000000000e+00
3.157894736842105310e+00	4.686756798836687610e-01	4.000000000000000000e+00
3.684210526315789380e+00	1.100943598564319004e+00	4.000000000000000000e+00
4.210526315789473450e+00	9.830751805480247851e-01	4.000000000000000000e+00
4.736842105263157521e+00	2.117554028377733655e+00	4.000000000000000000e+00
5.263157894736841591e+00	2.766127173083112734e+00	4.000000000000000000e+00
5.789473684210525661e+00	5.531059040296881335e+00	4.000000000000000000e+00
6.315789473684210620e+00	7.022608714013162334e+00	4.000000000000000000e+00
6.842105263157894690e+00	9.102953672331766555e+00	4.000000000000000000e+00
7.368421052631578760e+00	1.805372759075869027e+01	4.000000000000000000e+00
7.894736842105262831e+00	3.003163026140108727e+01	4.000000000000000000e+00
8.421052631578946901e+00	4.270540796468429789e+01	4.000000000000000000e+00
8.947368421052631859e+00	6.809458254232266938e+01	4.000000000000000000e+00
9.473684210526315042e+00	8.541747154146554522e+01	4.000000000000000000e+00
1.000000000000000000e+01	1.382347375923045547e+02	4.000000000000000000e+00
