x	y
-9.414446268863315481e+00	1.253364382045901948e+01
-5.033744261567577816e+00	1.924949692950185920e+01
-1.138404794862235647e+01	-1.865096316432302359e+01
-2.416795643264347504e+01	-2.756074565700428280e+01
2.483965991552539609e+00	-9.240788481877160621e+00
-5.624933106915666059e+00	2.461465346144392274e+00
-2.282277685752462304e+01	6.981663848737584388e+00
6.478951577360838598e+00	1.467161018355274038e+01
-1.270217710136538969e+01	3.979915391301004579e+00
7.272355411459453522e-01	2.439736292917883631e+01
1.020726787048551643e+01	-3.116479533276486524e+00
1.805760750603749409e+00	-1.278310905258515007e+01
1.595160958360620995e+01	-2.353705501692206781e+01
-1.728756148495113720e+01	-1.244559901333629881e+01
5.632782976485685822e+00	3.389651453791722169e+00
-9.587341273164383892e+00	-1.244208360295083082e+01
-1.219116008854634536e+01	1.311439448949360020e+01
-8.103895306701815571e+00	1.977258788452420291e+01
-4.361735449783217256e+00	-3.317421667317243816e+01
7.863147912164361042e-01	1.209673220696707041e+01
-1.631209777096698943e+01	-3.135445682126431421e+01
1.261157081735861851e+01	5.620986771264025350e+00
6.519274156226437356e+00	1.714818789871123528e+01
-2.150741160788113149e+01	9.079854888100664656e-01
2.083553071313839666e+01	-1.791564842485935216e+01
2.654244846442816552e+01	-8.196036859888817361e+00
1.650291399623510813e+01	-3.663036239952609741e+00
-2.518947701372912906e+00	-2.551426973059200964e+00
-1.499053670114759562e+01	-2.840555770733338647e+00
1.476232417703591260e+01	-1.538358910330393181e+00
-5.644477257624514799e+00	2.988720684742364408e+00
1.711423098535398424e+01	-1.692003115226509635e+01
2.915849693076044247e+00	-3.388277618183073159e+00
1.367294651077197898e+01	2.125565638497987564e+01
4.989129560441626587e+00	-5.385035923995248552e+00
9.892024354687274368e+00	-6.213705304172768784e+00
1.470002900914866850e-01	1.509476225199932919e+01
2.500218691468169396e+01	-3.582858532881735414e+01
1.776769297850678830e+00	1.653930041803600304e+01
5.627851088225822807e+00	-8.846652612072341881e+00
2.636410975878755991e+01	2.295000014336213034e+00
-1.886862685599425049e+01	1.348498982896755516e+00
-1.778678997880027168e+01	1.319455366908551319e+01
1.357155391421215640e+01	-3.746326447294867634e+00
-1.642372767159823965e+01	-9.492360941902305171e+00
2.721069659909009886e+01	1.816984106911538177e+01
-5.790665730636463060e+00	-3.309843343997652454e+01
-1.046436736017060909e+01	2.846785438734054652e-01
2.692118837072538540e+01	-1.887095591680768436e+01
2.072720708008193924e+01	-1.066202743559182586e+01
2.614582544597197966e+01	2.815759354048391572e+01
1.268462521585539449e+01	-6.243359703819983952e-01
-1.205715959076583488e+01	2.730975760119336293e+00
2.674090934338646974e+01	-2.494187997987827998e+01
-3.752047193319325125e+00	-1.020662522312574083e+01
1.123438954114953248e+01	2.751803610202988803e+00
1.326152754883247198e+01	4.966607703585053102e+00
-2.170141303271678535e+00	8.636411761505902618e+00
8.597111184845124043e+00	1.207905848460685133e-01
1.291089340193137502e+01	7.378058918365235641e+00
5.269957436178811960e+00	6.352946776899575987e+00
-1.539161106817872238e+01	-2.561636575406344107e+01
4.175334438884783950e+00	5.180801067420934825e-01
1.856940255361842418e+01	1.075063370825785114e+01
-9.723950036239116912e+00	8.258317490283273443e+00
-2.094883564587390445e+00	-5.094023339591058352e+00
-6.092149724102924324e+00	-1.127877110555114903e+01
2.588969219871078664e+01	-1.565636694050285094e+01
9.412126598174095804e+00	-1.834756161579772726e+00
5.704465707375545591e+00	1.586311831383610738e+01
-1.077882504223443050e+01	-2.732525742074242814e+01
7.549488678085441329e+00	-9.238484216212970779e+00
-9.440657249203265877e+00	-1.595723437597483674e+01
4.456278158409165413e-01	1.098940529736700178e+01
-8.901845097304333265e+00	-7.760334771998212311e+00
9.470066129250996667e+00	-6.588927214167079605e+00
8.072271432609174013e+00	-3.037293979113085740e+00
-2.916182578091928157e+00	6.235505512527161898e+00
5.544093977263034212e+00	-5.493445974094914419e+00
-1.530286112222708184e+01	-4.264600276719897209e+01
-2.087760629787847932e+01	7.606366479425275884e+00
6.151483817703517154e+00	6.146601407408595286e+00
2.333428935215406508e+00	-3.073574396636985284e+00
8.890440116489489952e+00	-1.517651268940708320e+01
3.336402684809518604e+01	4.924921549539016397e+00
1.322271281786579422e+01	5.309297469498214461e+00
-1.277951115621821998e+01	-6.580460357812246919e+00
1.563822803334194234e+01	-3.034240588057540933e+00
-1.842270374716129666e+01	-1.302219103534049793e+01
-6.462184467405926114e+00	-2.500247289222607971e+00
-9.553824745448372679e-01	-2.170601083116873298e+01
2.398679810309113236e+01	5.842463494445697236e+00
-1.042656750867815774e+01	-1.322115887154011382e+01
-1.157013954122620092e+01	3.333444069652369723e+00
-1.378335341956052229e+00	-1.968348082775058927e+01
-9.288696009069504100e+00	-8.260807042173555104e+00
1.577290290949109774e+01	-1.546851670922989586e+00
-1.511904111708792620e+01	-2.324979736616968751e+01
-1.606456113375543282e+01	1.612070223961290294e+00
-6.129480626422076028e+00	-5.308065880318918239e+00
-6.972454309692268204e+00	-2.439298676932922660e+01
2.701344875343779961e+01	-1.824539855757242179e+01
1.329189129696065130e+01	8.471681177150333752e+00
1.225717379392672557e+00	1.253778379771853579e+01
-1.715609726362235321e+01	-1.846720956919538859e+00
1.182108166962165896e+01	5.666665368566964567e+00
-1.400301486345390600e+01	3.133809886380749532e+00
-2.162679535488656057e+01	4.614721749788333049e+00
1.663241709293222570e+01	1.800377609912410293e+01
4.437196566947894993e+00	-2.109797757499980975e+01
1.289202353293146608e+01	9.470450253062724144e+00
4.462187141202296203e+00	-5.348125378089482851e+00
1.199562856663767718e+01	-3.139625079522964768e+00
-9.114358306202056781e+00	-4.231496226370980551e+00
-1.447939978498250468e+01	-5.252059633257974092e+00
9.542323255942777749e+00	-1.716674668496226630e+01
-1.124773529843377418e+01	2.566748789606417613e+00
-9.653696888502807383e+00	2.339320245904400153e+01
-6.377455049242803931e+00	-7.858622862825995758e-01
2.447082263507942002e-01	-1.939059829134016227e-02
-4.955914757548775640e+00	-9.622186520193288573e+00
-1.924931810785226460e+01	-1.644643649853560596e+00
-9.010657639660466955e+00	6.526329964476430767e+00
-3.112764413114197382e+01	-5.183394169860800815e+00
8.753240314380624554e+00	-6.353256574728014527e+00
-2.242880717849446626e+01	5.645703562285455668e+00
-1.546136675199830890e+01	-1.285206677746663573e+01
7.303111096536416547e-01	3.534952779076213858e+00
-1.035388194947838514e+01	1.148450516165990365e+01
2.160220433569430298e+01	1.903927958351277994e+01
-1.809999673612827920e+01	-1.265348101877255438e+00
3.738712170888561115e+00	1.914636135729399058e+01
-5.499594551849384949e-01	1.448173841074125434e+01
-1.635330896837676562e+01	-1.394697696519492602e+01
7.325873247444551595e+00	-1.705113916230411419e+01
-2.401648637111473583e+00	-4.269490929961886394e+00
1.080506771699134205e+01	1.440509689632795798e+01
1.152905815549224045e+01	-1.012018105840068571e+00
3.028530328992965792e+01	-8.409205807209039207e+00
1.871139129210948937e+01	2.173140452067985251e+01
-5.168545731194210013e+00	4.016662832046849374e+00
-3.351308486062969383e+00	-3.248831986107038006e+01
1.539523434241958455e+01	4.440248768097642795e+00
9.173692230116369473e+00	7.280568603992149335e+00
8.961841365366288059e+00	3.158521162595453013e+00
-2.263738462035168197e+01	6.295969403247895890e+00
-3.405657415850988912e-01	-9.418585249217442668e-01
-1.033243272887964181e+01	-1.845754217502627981e+01
3.918944386605335506e+00	-5.189856045086347791e+00
-1.374105455001411125e+00	-1.323862113778807981e+01
1.274250471329628809e+01	-1.305837275112128992e+01
4.441055012678228664e+00	-1.768295688743185679e+01
1.100859146952566547e+01	6.334847296955048890e+00
-6.529867354303203086e+00	1.370546035776779359e+00
-1.322224758285550550e+01	-6.274315077529912799e+00
-5.740695704835678370e+00	-9.090730988225434572e+00
-2.382857940601683100e-01	-3.279234703003303664e-01
5.308124297771144917e+00	1.510872619357484936e+01
3.163032530967193168e+01	-2.805902001698481030e+01
-5.916001232489976891e-01	5.276271291912498107e+00
-1.338323000689887721e+01	-7.639967636248953475e+00
-4.843744859791409674e+00	-2.638420182971226780e+01
-6.490343645045318688e+00	-2.723984316429542218e+01
6.740740632828470247e+00	-1.277896891789408507e+01
-2.157115820222474767e+01	3.073133781102633577e+00
8.856679188046439055e-01	5.502881075721282933e+00
2.191091531515258151e+00	-1.314574201748899362e+01
3.250534506803860690e+00	1.423829387978542549e+01
-8.362424965515078412e+00	1.992176895122548430e+01
-3.330904216304098053e+00	5.545212189391842905e+00
-1.993685272575544332e+01	-8.279637349313551553e+00
-6.906478367070716828e+00	1.574186858314515369e+01
-7.600060664234048247e+00	1.057553973928673585e+01
5.824700647659956765e+00	1.214370375896885079e+01
-1.618655404550677801e+01	-9.190491449601440266e+00
1.093677342393990770e+01	-3.968376307384583157e+01
2.092278362287916238e+01	2.963507430077145699e+01
-2.897979035018945382e+01	-2.255229764829907069e+01
5.967622230893413260e+00	-5.007530060430958052e-01
9.476712490423437885e+00	3.333043491707650219e+01
-8.924118357731206430e+00	4.628074587841235932e+00
-5.561805400603167193e+00	1.328945062981529901e+01
-1.860328086217378774e+00	-2.103355197134397869e+01
-4.169072311624196558e+00	-2.488733736627188620e+01
-4.326181566659711208e+00	-7.457839087713763249e+00
-2.346405328861967376e+01	1.527049628208300192e+01
1.613264190696368061e+01	-4.847492267062339266e+00
1.511466028851549481e+01	-1.112490849500098200e+01
-1.138709962885883975e+01	2.771542059229544552e+00
-2.052994058923519560e+01	1.514709305868171363e+01
7.294908270338620326e+00	-2.022916278702720305e+01
-8.061031577382925306e+00	-1.694760191772692437e+01
1.987344286490915435e+00	-1.104136956313112705e+01
-4.470597840031333092e+00	1.532493724596927898e+01
9.681542514982611536e+00	3.287501363282246736e+00
9.726488011184082794e+00	2.985014774798620962e+01
-1.015836329849017972e+01	1.311024016163562145e+01
-1.936709537553077709e+01	-4.913324761753853354e-01
-2.216113756269114532e+01	1.771108973324272284e+01
8.545311307500872644e+00	2.960958178246292150e+00
-1.664402960897640327e+01	-9.868898935104228443e+00
-7.095428960181625833e+00	9.519647819431433788e+00
-8.348396538307113701e+00	-9.748573154055160117e+00
-7.359421477736480810e-01	-4.065559411254135114e+00
-2.710791728185109761e+01	1.858895774341176121e+01
2.642900355113599886e+00	-1.417940807043590823e+00
7.334474333678878466e+00	-1.124397942278279672e+01
1.237909218625259822e+00	-6.500727680096883176e+00
-4.352406403778603661e+00	1.430506819824142362e+01
1.363602327762967636e+00	-7.735569427834208867e+00
5.586648838961822960e+00	-5.416191855909051611e+00
