x	y	dy
1.000000000000000000e+00	1.212580141789126387e+01	1.212580141789126431e+00
1.473684210526315708e+00	2.242059645665777268e+01	2.242059645665777534e+00
1.947368421052631415e+00	3.245505415574259445e+01	3.245505415574259533e+00
2.421052631578947345e+00	4.051822214540196399e+01	4.051822214540196754e+00
2.894736842105262831e+00	6.516208086816261869e+01	6.516208086816262401e+00
3.368421052631578760e+00	7.713892275149491695e+01	7.713892275149492050e+00
3.842105263157894690e+00	8.194310330476560011e+01	8.194310330476559656e+00
4.315789473684210620e+00	1.219497506407985838e+02	1.219497506407985910e+01
4.789473684210525661e+00	1.238990509950744325e+02	1.238990509950744467e+01
5.263157894736841591e+00	1.577840399339158353e+02	1.577840399339158495e+01
5.736842105263157521e+00	1.916529943115774586e+02	1.916529943115774515e+01
6.210526315789473450e+00	2.037988834177174624e+02	2.037988834177174624e+01
6.684210526315789380e+00	2.502536140733758714e+02	2.502536140733758785e+01
7.157894736842105310e+00	2.182136251121070813e+02	2.182136251121070813e+01
7.631578947368420351e+00	2.850992450672361542e+02	2.850992450672361755e+01
8.105263157894736281e+00	2.794381808882532141e+02	2.794381808882532425e+01
8.578947368421051323e+00	2.982134414948454832e+02	2.982134414948454904e+01
9.052631578947368141e+00	3.335873360681882787e+02	3.335873360681883071e+01
9.526315789473683182e+00	3.703266802352702030e+02	3.703266802352702314e+01
1.000000000000000000e+01	4.134050311130042132e+02	4.134050311130042132e+01
