x	y	dy
-3.000000000000000000e+00	-3.460784296209700983e+01	3.000000000000000000e+00
-2.578947368421052655e+00	-2.619298223114559576e+01	3.000000000000000000e+00
-2.157894736842105310e+00	-1.468648614973847799e+01	3.000000000000000000e+00
-1.736842105263157965e+00	-3.551544050157690258e+00	3.000000000000000000e+00
-1.315789473684210620e+00	5.681645667467387639e-01	3.000000000000000000e+00
-8.947368421052632748e-01	-4.521875919845008696e+00	3.000000000000000000e+00
-4.736842105263159297e-01	3.222958064940085965e+00	3.000000000000000000e+00
-5.263157894736858466e-02	7.131393388042381876e-01	3.000000000000000000e+00
3.684210526315787604e-01	7.973707080688090532e-01	3.000000000000000000e+00
7.894736842105261054e-01	1.737452307098102944e+00	3.000000000000000000e+00
1.210526315789473450e+00	1.087453803436932986e-01	3.000000000000000000e+00
1.631578947368421240e+00	3.296236470735841806e+00	3.000000000000000000e+00
2.052631578947368141e+00	8.726889153447565661e-01	3.000000000000000000e+00
2.473684210526315042e+00	-6.763658238266618827e-01	3.000000000000000000e+00
2.894736842105262831e+00	1.685620898119639222e+00	3.000000000000000000e+00
3.315789473684210620e+00	4.090380031255327786e+00	3.000000000000000000e+00
3.736842105263157521e+00	1.196033898357837089e+01	3.000000000000000000e+00
4.157894736842104422e+00	1.321830564316825019e+01	3.000000000000000000e+00
4.578947368421052211e+00	2.340911125482877253e+01	3.000000000000000000e+00
5.000000000000000000e+00	3.113771278209483739e+01	3.000000000000000000e+00
